year,production,hectares,Yield
1989,4344.798,2465.2,1.7624525393477204
1990,3540.598,2404.1000000000004,1.4727332473690775
1991,4043.587,2310.0,1.7504705627705628
1992,4330.907999999999,2470.8,1.7528363283147155
1993,4412.438,2360.945,1.8689287552230145
1994,2689.977,2317.9660000000003,1.1604902746632175
1995,4678.827,2549.0099999999998,1.8355467416761804
1996,4858.6230000000005,2649.2459999999996,1.8339644563019066
1997,4855.747,2552.507,1.9023442443056964
1998,5507.9490000000005,2836.6069999999995,1.9417384925017818
1999,4103.636,2783.138,1.4744637168548598
2000,6639.9,3121.767,2.1269684765070553
2001,7739.086,3246.343,2.383939713086387
2002,3579.509,3259.607,1.0981412789946763
2003,6334.949,3297.6169999999997,1.9210687596528038
2004,4672.885,3352.6829999999995,1.3937747767981645
2005,6526.163,3287.326,1.9852497135970084
2006,2480.8659999999995,3436.855,0.7218419165196086
2007,4042.314,3451.0870000000004,1.171316167920426
2008,4300.55,3411.733,1.2605177486045949
2009,6159.0830000000005,3203.372,1.9226874056463004
2010,8156.7609999999995,3187.5539999999996,2.5589404916748077
2011,6381.148,3162.299,2.017882559492319
2012,5511.675,3008.6710000000003,1.8319301113348716
2013,6166.643999999999,2758.472,2.2355289450101354
2014,6561.162000000001,2901.732,2.261119221209954
2015,5417.196,2557.134,2.118463874008949
2016,9162.307,3174.956,2.8858059765237694
2017,5928.598000000001,2868.0769999999998,2.067098616947872
2018,4645.46,2702.4049999999997,1.7190095489018118
2019,4695.054,2809.1249999999995,1.6713581631290886
2020,7231.75,2960.0,2.4431587837837836
